"Wariant","TA","TA'","TAF","tAF","próbka","W1","W2","W3"
"WI",830,,300,8,"Próbka 1",6.40,7.70,7.90
"WI",830,,300,8,"Próbka 2",6.60,7.90,8.20
"WI",830,,300,8,"Próbka 3",6.20,7.60,7.80
"WI",830,,300,16,"Próbka 1",6.40,8.20,8.40
"WI",830,,300,16,"Próbka 2",6.50,8.50,8.70
"WI",830,,300,16,"Próbka 3",7.10,8.30,8.50
"WI",830,,300,32,"Próbka 1",6.90,8.90,9.00
"WI",830,,300,32,"Próbka 2",6.80,8.60,8.60
"WI",830,,300,32,"Próbka 3",7.20,8.60,8.80
"WI",830,,300,64,"Próbka 1",6.80,8.70,9.20
"WI",830,,300,64,"Próbka 2",6.40,9.10,9.00
"WI",830,,300,64,"Próbka 3",6.40,8.90,8.70
"WII",950,830,300,8,"Próbka 1",7.60,9.40,11.30
"WII",950,830,300,8,"Próbka 2",7.50,9.50,11.30
"WII",950,830,300,8,"Próbka 3",7.80,9.20,11.50
"WII",950,830,300,16,"Próbka 1",8.80,9.90,11.60
"WII",950,830,300,16,"Próbka 2",8.20,9.60,11.90
"WII",950,830,300,16,"Próbka 3",8.50,9.70,11.70
"WII",950,830,300,32,"Próbka 1",9.80,10.20,11.90
"WII",950,830,300,32,"Próbka 2",9.30,10.80,12.30
"WII",950,830,300,32,"Próbka 3",9.70,10.40,12.10
"WII",950,830,300,64,"Próbka 1",9.10,10.90,11.40
"WII",950,830,300,64,"Próbka 2",8.80,10.80,11.40
"WII",950,830,300,64,"Próbka 3",8.50,10.50,11.20
"WI",830,,400,8,"Próbka 1",15.10,15.70,15.80
"WI",830,,400,8,"Próbka 2",14.80,15.20,16.10
"WI",830,,400,8,"Próbka 3",14.80,15.30,16.00
"WI",830,,400,16,"Próbka 1",15.40,15.91,16.60
"WI",830,,400,16,"Próbka 2",15.00,15.70,16.40
"WI",830,,400,16,"Próbka 3",14.90,15.80,16.20
"WI",830,,400,32,"Próbka 1",12.80,16.10,16.90
"WI",830,,400,32,"Próbka 2",13.20,16.40,16.70
"WI",830,,400,32,"Próbka 3",12.70,16.10,16.60
"WI",830,,400,64,"Próbka 1",8.90,16.70,17.20
"WI",830,,400,64,"Próbka 2",9.10,16.30,17.20
"WI",830,,400,64,"Próbka 3",9.40,16.70,17.50
"WII",950,830,400,8,"Próbka 1",16.50,16.90,18.80
"WII",950,830,400,8,"Próbka 2",16.70,17.10,19.20
"WII",950,830,400,8,"Próbka 3",16.20,17.40,19.10
"WII",950,830,400,16,"Próbka 1",16.50,17.60,19.40
"WII",950,830,400,16,"Próbka 2",16.80,17.40,19.10
"WII",950,830,400,16,"Próbka 3",16.90,17.70,19.30
"WII",950,830,400,32,"Próbka 1",15.40,17.90,19.70
"WII",950,830,400,32,"Próbka 2",15.40,17.90,19.50
"WII",950,830,400,32,"Próbka 3",15.90,18.10,19.90
"WII",950,830,400,64,"Próbka 1",13.40,17.60,19.20
"WII",950,830,400,64,"Próbka 2",12.90,17.40,19.10
"WII",950,830,400,64,"Próbka 3",12.80,17.60,18.80
"WI",860,,300,8,"Próbka 1",6.30,6.90,7.90
"WI",860,,300,8,"Próbka 2",5.90,7.20,7.50
"WI",860,,300,8,"Próbka 3",6.50,6.70,7.80
"WI",860,,300,16,"Próbka 1",6.80,6.90,8.50
"WI",860,,300,16,"Próbka 2",6.60,7.50,8.20
"WI",860,,300,16,"Próbka 3",6.90,7.70,7.90
"WI",860,,300,32,"Próbka 1",6.40,7.90,8.80
"WI",860,,300,32,"Próbka 2",6.10,7.80,8.50
"WI",860,,300,32,"Próbka 3",5.90,7.60,9.10
"WI",860,,300,64,"Próbka 1",5.50,7.90,9.40
"WI",860,,300,64,"Próbka 2",6.10,8.50,9.20
"WI",860,,300,64,"Próbka 3",6.20,8.30,8.90
"WII",950,860,300,8,"Próbka 1",7.40,10.20,10.80
"WII",950,860,300,8,"Próbka 2",6.90,10.60,11.40
"WII",950,860,300,8,"Próbka 3",6.80,9.90,11.10
"WII",950,860,300,16,"Próbka 1",7.40,10.20,12.10
"WII",950,860,300,16,"Próbka 2",6.90,10.60,11.40
"WII",950,860,300,16,"Próbka 3",7.30,10.80,12.00
"WII",950,860,300,32,"Próbka 1",6.90,11.30,12.30
"WII",950,860,300,32,"Próbka 2",7.40,10.90,12.10
"WII",950,860,300,32,"Próbka 3",7.20,11.10,11.80
"WII",950,860,300,64,"Próbka 1",8.20,12.20,12.80
"WII",950,860,300,64,"Próbka 2",7.90,11.90,12.00
"WII",950,860,300,64,"Próbka 3",8.40,12.50,12.60
"WI",860,,400,8,"Próbka 1",12.70,14.10,13.50
"WI",860,,400,8,"Próbka 2",13.40,14.30,13.90
"WI",860,,400,8,"Próbka 3",13.10,13.90,13.70
"WI",860,,400,16,"Próbka 1",13.80,14.50,14.30
"WI",860,,400,16,"Próbka 2",13.60,14.10,14.90
"WI",860,,400,16,"Próbka 3",13.60,14.70,14.90
"WI",860,,400,32,"Próbka 1",13.90,14.90,15.10
"WI",860,,400,32,"Próbka 2",14.10,14.70,14.60
"WI",860,,400,32,"Próbka 3",14.40,14.90,15.40
"WI",860,,400,64,"Próbka 1",11.90,14.40,15.30
"WI",860,,400,64,"Próbka 2",11.70,13.90,15.60
"WI",860,,400,64,"Próbka 3",11.60,14.30,14.80
"WII",950,860,400,8,"Próbka 1",15.80,15.60,15.90
"WII",950,860,400,8,"Próbka 2",16.30,16.10,16.40
"WII",950,860,400,8,"Próbka 3",16.50,16.40,16.40
"WII",950,860,400,16,"Próbka 1",16.30,16.80,17.30
"WII",950,860,400,16,"Próbka 2",16.40,16.90,17.10
"WII",950,860,400,16,"Próbka 3",17.10,16.40,16.80
"WII",950,860,400,32,"Próbka 1",15.80,17.10,17.70
"WII",950,860,400,32,"Próbka 2",14.90,17.00,17.90
"WII",950,860,400,32,"Próbka 3",15.70,16.90,17.30
"WII",950,860,400,64,"Próbka 1",9.50,16.90,18.10
"WII",950,860,400,64,"Próbka 2",9.70,17.40,17.90
"WII",950,860,400,64,"Próbka 3",10.10,17.20,17.60
"WI",900,,300,8,"Próbka 1",5.70,7.60,8.40
"WI",900,,300,8,"Próbka 2",5.40,8.20,8.90
"WI",900,,300,8,"Próbka 3",5.90,7.90,8.50
"WI",900,,300,16,"Próbka 1",6.80,8.40,9.20
"WI",900,,300,16,"Próbka 2",6.80,8.00,9.40
"WI",900,,300,16,"Próbka 3",7.10,7.80,8.70
"WI",900,,300,32,"Próbka 1",7.20,8.50,9.40
"WI",900,,300,32,"Próbka 2",6.90,8.30,9.60
"WI",900,,300,32,"Próbka 3",7.00,8.20,9.10
"WI",900,,300,64,"Próbka 1",6.10,7.60,9.50
"WI",900,,300,64,"Próbka 2",6.60,8.00,9.80
"WI",900,,300,64,"Próbka 3",6.70,7.90,9.70
"WII",950,900,300,8,"Próbka 1",7.30,8.20,10.70
"WII",950,900,300,8,"Próbka 2",7.60,8.40,11.10
"WII",950,900,300,8,"Próbka 3",7.80,8.40,10.60
"WII",950,900,300,16,"Próbka 1",7.80,8.80,12.10
"WII",950,900,300,16,"Próbka 2",7.50,9.10,11.50
